ID,Título,Autor,Ano da edição,Páginas,Editora,Gênero,Estrelas,Já leram,Lendo,Querendo ler,Relendo,Abandonos,Resenhas,Homens,Mulheres,Avaliação,Sentimento,Imagem
48,Lua Nova,Stephenie Meyer,2008,432,Intrínseca,Fantasia,3.6,360807,2937,25329,407,3726,3756,10%,90%,"As avaliações sobre o livro ""Lua Nova"" são bastante variadas, com alguns leitores destacando a intensidade do romance adolescente e a dependência emocional dos personagens, enquanto outros criticam a atuação de Jacob e a falta de Edward em parte da história. A narrativa é descrita como envolvente e emocionante, explorando os sentimentos dos personagens de forma profunda, porém, alguns leitores consideram a trama arrastada e repetitiva em alguns momentos. No geral, a obra desperta emoções intensas nos leitores, dividindo opiniões sobre a qualidade e o desenvolvimento da história.",Mediano,https://img.skoob.com.br/0iB37AGFcApsHWXRz3T9B7hf9R4=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/48/LUA_NOVA_143809158248SK1438091582B.jpg
49,Crepúsculo,Stephenie Meyer,2008,416,Intrínseca,Romance,3.8,445626,7326,44347,1090,7580,7266,10%,90%,"As avaliações sobre o livro ""Crepúsculo"" são divergentes, com opiniões que variam desde a nostalgia e o encantamento com a história e os personagens até críticas em relação à falta de desenvolvimento, a dependência emocional dos protagonistas e a monotonia de certas partes da trama. Alguns leitores destacam a riqueza de detalhes e a profundidade dos personagens, enquanto outros apontam a falta de química entre o casal principal. A escrita envolvente e o suspense são elogiados, mas há quem considere a protagonista como uma personagem sem vida própria. Apesar das críticas, muitos recomendam a leitura do livro para os fãs da saga, ressaltando a diferença em relação aos filmes e a oportunidade de conhecer mais sobre os personagens e a história.",Mediano,https://img.skoob.com.br/lquPBqCEsQxPiB3x_0_--JZ8RIc=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/49/CREPUSCULO_1394253998B.jpg
56,A Cidade do Sol,Khaled Hosseini,2007,364,Nova Fronteira,Romance,4.5,94263,1399,38812,112,1349,1996,16%,84%,"""A Cidade do Sol"" é um livro extremamente emocionante e impactante, que retrata de forma sensível e profunda a vida de duas mulheres afegãs, Mariam e Laila, em meio a opressão, violência e horrores da guerra. A narrativa envolvente e detalhada proporciona ao leitor uma compreensão mais profunda do contexto afegão, destacando a resiliência e coragem das personagens diante das adversidades. O livro aborda questões feministas, a importância da sororidade, e expõe as realidades brutais enfrentadas pelas mulheres afegãs, provocando reflexões sobre injustiças, resistência e a capacidade humana de amar. Uma leitura essencial e marcante, que emociona, choca e inspira, deixando uma profunda impressão e um convite à reflexão sobre a condição feminina e a força da amizade em meio a circunstâncias desafiadoras.",Bom,https://img.skoob.com.br/CohCxsC184FqYbKCQ1tH7DIkALc=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/56/A_CIDADE_DO_SOL_1295553285B.jpg
57,A Cabana,William P. Young,2008,240,Sextante,Ficção,3.9,350833,6549,104540,467,16748,4240,17%,83%,"O livro ""A Cabana"" de William P. Young é um best-seller que, apesar de ser voltado ao público cristão, conquistou leitores de diversos gêneros devido à sua mensagem de dor, perdão, ódio e amor. A narrativa levanta questionamentos acerca da presença de Deus diante do sofrimento humano, surpreendendo o protagonista e os leitores com respostas transformadoras. A abordagem da Trindade pode causar estranheza a princípio, mas ao longo da leitura, a força das mensagens toca profundamente. Com opiniões divididas entre os leitores, o livro é descrito como emocionante, inspirador, reflexivo e profundo, capaz de provocar lágrimas e reflexões sobre temas como fé, perdão e cura. Alguns leitores se sentiram tocados e transformados pela leitura, enquanto outros acharam a relação com o enredo vaga ou a mensagem vaga e superficial. No entanto, a maioria destaca a importância das lições de perdão e amor presentes na obra, recomendando a leitura para aqueles com mente aberta e coração disposto a refletir sobre questões existenciais e espirituais.",Bom,https://img.skoob.com.br/38fzmKhJesP9LfvOQxoO3neFaT0=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/57/A_CABANA_1398878150B.jpg
60,Os Segredos Da Mente Milionária,T. Harv Eker,2006,176,Sextante,Negócios,4.3,26138,3509,16211,240,731,1444,44%,56%,"""Os Segredos da Mente Milionária"" de T. Harv Eker é um livro de autoajuda e finanças pessoais que explora como as crenças e atitudes em relação ao dinheiro podem influenciar diretamente a capacidade de acumular riqueza. O autor argumenta que o sucesso financeiro é mais uma questão de mentalidade do que de habilidades específicas, apresentando o conceito do ""modelo de dinheiro"" e 17 ""arquivos de riqueza"" que destacam diferenças de atitude entre os ricos e os não ricos. As avaliações dos leitores variam, desde elogios pela mudança de perspectiva e impacto positivo na vida financeira até críticas sobre o tom sensacionalista e a falta de realismo em algumas abordagens, mas no geral, o livro é considerado uma fonte valiosa de conhecimento e insights para aqueles que buscam transformar sua relação com o dinheiro e alcançar novos níveis de prosperidade financeira.",Bom,https://img.skoob.com.br/0P4spuEoG4k5F3bkNylFN3KiHiY=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/60/OS_SEGREDOS_DA_MENTE_MILIONARI_168096449860SK-V11680964500B.jpg
63,1808,Laurentino Gomes,2009,368,Planeta,História,4.1,37530,3316,69493,90,2694,1010,30%,70%,"O livro ""1808"" de Laurentino Gomes narra a vinda da família real portuguesa ao Brasil durante a invasão das tropas napoleônicas em Portugal, abordando aspectos históricos de forma acessível, porém superficial para alguns leitores. Enquanto alguns elogiam a riqueza de detalhes e a fluidez da narrativa, outros apontam a falta de análise crítica e a visão eurocêntrica como pontos fracos. A obra é descrita como uma aula de história documentada, revelando curiosidades e impactos da presença da corte no Brasil, despertando o interesse de leitores para a história do país. Com uma abordagem leve e diversificada, ""1808"" é recomendado para aqueles que buscam uma introdução histórica diferente, porém pode decepcionar quem espera uma análise mais profunda e crítica dos eventos.",Bom,https://img.skoob.com.br/g8CPg2SJf4gK4-dnjwxfQVfRU30=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/63/1808_1310330906B.jpg
84,Drácula,Bram Stoker,1998,552,L&PM Pocket,Terror,4.2,61773,7117,46974,190,2455,4118,27%,73%,"O livro ""Drácula"" de Bram Stoker é um clássico da literatura que mistura terror e fantasia de forma envolvente. Escrito de forma epistolar, a obra apresenta uma narrativa rica e detalhada, explorando a história do famoso vampiro de uma maneira que vai além das expectativas. Apesar de algumas ressalvas em relação ao final e à edição, os leitores destacam a construção dos personagens, a atmosfera gótica e a influência duradoura que o livro teve na cultura pop, tornando-o uma leitura obrigatória para os fãs do gênero.",Mediano,https://img.skoob.com.br/JPhkBKQdxdquz1jCidJZz6pCkVg=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/84/DRCULA_3424322662B.jpg
101,O menino do pijama listrado,John Boyne,2007,190,Seguinte,Ficção Histórica,4.3,362360,7882,331154,299,2584,5365,15%,85%,"O livro ""O Menino do Pijama Listrado"" é descrito como triste e impactante por diversos leitores, que destacam a inocência e a pureza dos personagens Bruno e Shmuel, a simbologia presente na história e a importância de refletir sobre os horrores da Segunda Guerra Mundial. A narrativa é elogiada por abordar temas como amizade, perda da inocência e a dura realidade do Holocausto, resultando em uma leitura emotiva e reflexiva que toca profundamente o coração dos leitores.",Bom,https://img.skoob.com.br/UNpqtJoSMOdikqhq8iy9H0Kg4HE=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/101/O_MENINO_DO_PIJAMA_LISTRADO_1388769075B.jpg
103,A Sombra do Vento,Zafón,2007,399,Suma de Letras,Romance,4.6,45483,2386,71173,182,1331,2243,19%,81%,"""A Sombra do Vento"" de Carlos Ruiz Zafón é uma obra-prima aclamada pelos leitores, com uma trama cheia de mistérios, reviravoltas e personagens cativantes. Ambientado em uma Barcelona pós-guerra, o livro envolve o leitor em uma jornada emocionante, repleta de suspense e reflexões sobre a vida, o amor e a literatura. A escrita poética e envolvente do autor conquista os leitores, que se veem imersos em uma história que os prende do início ao fim, deixando uma marca duradoura e a vontade de explorar mais obras do autor.""",Bom,https://img.skoob.com.br/pOxW9281wpQSEpo8K5KVNvIHwFo=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/103/A_SOMBRA_DO_VENTO_1251595760B.jpg
108,Harry Potter e a Pedra Filosofal,J.K. Rowling,2000,224,Rocco,Fantasia,4.5,786651,21517,175388,2986,5110,18335,21%,79%,"O livro ""Harry Potter e a Pedra Filosofal"" recebeu uma série de avaliações positivas, destacando a capacidade de encantar tanto crianças quanto adultos, a fluidez da leitura, a imersão no universo de fantasia criado pela autora, a importância da amizade e a nostalgia provocada pela história. Apesar de algumas críticas à escrita da autora e à personagem principal, a maioria dos leitores ressaltou a magia e o encantamento presentes na obra, tornando-a atemporal e cativante para os fãs de todas as idades.",Bom,https://img.skoob.com.br/PW_xixfHBfVBdm9-mQoIfLQZqUA=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/108/HARRY_POTTER_E_A_PEDRA_FILOSOFAL_1389761588B.jpg
110,O Morro dos Ventos Uivantes,Emily Brontë,2009,292,Lua de Papel,Romance,4.0,173295,12835,126232,653,12793,9186,11%,89%,"O livro ""O Morro dos Ventos Uivantes"" recebeu avaliações divergentes, indo desde o amor até o ódio por parte dos leitores. Enquanto alguns se encantaram com a intensidade dos sentimentos e a complexidade dos personagens, outros criticaram a trama cheia de tragédias, personagens detestáveis e relacionamentos tóxicos. A narrativa, marcada por fofocas e reviravoltas, provocou emoções intensas nos leitores, que se viram envolvidos em uma história de amor doentio, vingança e egoísmo, com um final que dividiu opiniões e despertou reflexões sobre os limites do amor e a natureza humana.",Mediano,https://img.skoob.com.br/2tM_-mN1FtxuTNBbcGoiykW9fGs=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/110/O_MORRO_DOS_VENTOS_UIVANTES_1606365764110SK1606365769B.jpg
114,O apanhador no campo de centeio,J. D. Salinger,1999,204,Editora do Autor,Romance,3.9,49404,2240,38906,158,1271,2494,27%,73%,"O livro ""O Apanhador no Campo de Centeio"" recebeu avaliações divergentes, com opiniões que vão desde a consideração de leitura dispensável até a classificação como favorito para a vida. Alguns leitores destacaram a profundidade da obra ao explorar a psiquê de um adolescente em transição para a vida adulta, enquanto outros apontaram a irritação com o protagonista e a falta de sentido em algumas partes da história. A narrativa em primeira pessoa, a reflexão sobre a adolescência e a busca por identidade foram aspectos elogiados, mas também houve críticas em relação à falta de ação e ao comportamento do personagem principal. No geral, o livro despertou sentimentos diversos nos leitores, desde saudade da adolescência até a vontade de reler para compreender melhor os questionamentos apresentados.",Bom,https://img.skoob.com.br/sWcSmixnpHwaSPQT2In1z2cEu6k=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/114/O_APANHADOR_NO_CAMPO_DE_CENTEI_1520198524114SK1520198528B.jpg
125,O Meu Pé de Laranja Lima,José Mauro de Vasconcelos,2013,192,Melhoramentos,Infantil,4.5,61058,2055,24035,202,911,4415,15%,85%,"""O Meu Pé de Laranja Lima"" é um livro que toca profundamente o coração dos leitores, narrando a história de Zezé, um menino sensível e criativo que encontra no seu pé de laranja lima um amigo e confidente. A relação entre Zezé e o Pézinho nos faz refletir sobre a importância da imaginação e da amizade na vida, enquanto acompanhamos suas aventuras e desventuras em meio a dificuldades familiares. A escrita envolvente de José Mauro de Vasconcelos nos transporta para o universo único do Zezé, nos fazendo rir, chorar e nos emocionar do início ao fim, deixando uma marca profunda em quem o lê. A história aborda temas como solidão, amor e superação, mostrando como a infância pode ser marcada por momentos de dor e alegria, mas também de resiliência e esperança.",Bom,https://img.skoob.com.br/MMj-ApPcAS4-ts-e_c7FZV_f1fQ=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/125/O_MEU_PE_DE_LARANJA_LIMA_1228172127B.jpg
126,Fortaleza Digital,Dan Brown,2005,336,Sextante,Ficção Suspense,3.9,133154,1372,34982,76,2324,1217,36%,64%,"O livro ""Fortaleza Digital"" de Dan Brown recebeu uma série de avaliações positivas, destacando a trama envolvente, o suspense de tirar o fôlego, as reviravoltas surpreendentes e a forma clara como o autor explica conceitos complexos. Além disso, a discussão ética sobre segurança e privacidade, a habilidade em combinar drama e investigação, e a capacidade de manter o leitor ansioso por descobrir o desfecho da história foram pontos elogiados. Apesar de algumas críticas em relação à previsibilidade de alguns aspectos e à construção de personagens, a maioria dos leitores recomenda a leitura e destaca o livro como uma obra-prima do suspense tecnológico, capaz de prender a atenção do início ao fim.",Bom,https://img.skoob.com.br/HSmCrWNY8tKDgXGq_QlLytpFC78=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/126/FORTALEZA_DIGITAL_1228172272B.jpg
134,O Mundo de Sofia,Jostein Gaarder,1995,560,Companhia das Letras,Filosofia,4.2,138183,13196,92585,816,14084,2505,20%,80%,"O livro ""O Mundo de Sofia"" recebeu críticas variadas, com alguns leitores se apaixonando pela forma como a filosofia foi abordada de maneira divertida e envolvente, enquanto outros acharam a leitura cansativa e o final decepcionante. Alguns elogiaram a criatividade do autor em misturar uma história adolescente com ensinamentos filosóficos, enquanto outros destacaram a densidade e a falta de desenvolvimento narrativo. No entanto, a maioria concorda que o livro é uma leitura educativa e introdutória ao mundo da filosofia, capaz de provocar reflexões profundas e despertar o interesse dos leitores pelo tema.",Bom,https://img.skoob.com.br/NYGyPZcF1R6M1rMrJBcfSuqIqZs=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/134/O_MUNDO_DE_SOFIA_1338638810B.jpg
136,Fahrenheit 451,Ray Bradbury,2012,216,Biblioteca Azul,Ficção Científica,4.1,81080,4735,73138,84,1587,6899,27%,73%,"As avaliações sobre o livro ""Fahrenheit 451"" mostram uma gama de opiniões, desde críticas à confusão no desenvolvimento da história até elogios à reflexão profunda sobre a sociedade e a importância da leitura. Muitos destacam a relevância da obra, escrita nos anos 50, para os dias atuais, ressaltando a crítica à alienação, ao conformismo e à supremacia das telas sobre os livros. A distopia apresentada no livro desperta questionamentos sobre a nossa sociedade e o rumo que estamos seguindo, além de provocar reflexões sobre o conhecimento, o poder e a liberdade de pensamento. Mesmo com opiniões divergentes, a maioria das avaliações reconhece a importância e o impacto da obra de Ray Bradbury.",Bom,https://img.skoob.com.br/AU07MkSYGsgSEASjDutkJmghIWU=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/136/FAHRENHEIT_451_1690566839136SK-V11690566842B.jpg
137,"Os Contos de Beedle, O Bardo",J.K. Rowling,2008,128,Rocco,Fantasia,4.2,142124,1117,56380,89,427,2342,21%,79%,"O livro ""Os Contos de Beedle, o Bardo"" é descrito como uma leitura leve e encantadora que mergulha os leitores de volta no mundo mágico de Harry Potter. Com contos reflexivos e cheios de ensinamentos, os leitores elogiam a conexão com a saga principal, os detalhes do universo bruxo e os comentários divertidos e perspicazes de Alvo Dumbledore, tornando a experiência de leitura uma viagem nostálgica e mágica para os fãs da série.",Bom,https://img.skoob.com.br/pspstgU9Rg3VR99Lbf-7pokvgzc=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/137/OS_CONTOS_DE_BEEDLEN_O_BARDO_1237700399B.jpg
141,Cem anos de solidão,Gabriel García Márquez,2008,394,Record,Romance,4.6,61881,5822,60522,350,2751,2883,27%,73%,"""Cem Anos de Solidão"", de Gabriel Garcia Márquez, é uma obra-prima do realismo mágico que cativa e emociona os leitores com a saga da família Buendía ao longo de sete gerações em Macondo. Com uma escrita poética e envolvente, o autor cria um universo complexo e intrincado, explorando temas como solidão, destino, repetição e memória. Os personagens inesquecíveis, as reviravoltas surpreendentes e a atmosfera única de Macondo tornam essa leitura uma experiência profunda e transformadora, digna de ser apreciada e revisitada ao longo do tempo.",Bom,https://img.skoob.com.br/DT6jD1FjrscUPjUpuqHbA9MvaR8=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/141/CEM_ANOS_DE_SOLIDAO_1325798343B.jpg
180,Dom Casmurro,Machado de Assis,1997,216,Ática,Romance,4.2,305670,7965,39863,757,5803,5847,22%,78%,"O livro ""Dom Casmurro"" de Machado de Assis é aclamado por sua narrativa envolvente e pela complexidade dos personagens, especialmente Bentinho e Capitu. A questão da suposta traição de Capitu é apenas uma das muitas camadas presentes na obra, que aborda temas como ciúme, insegurança e fanatismo religioso. A narrativa instiga o leitor a refletir sobre a confiabilidade do narrador, Bentinho, e a questionar as nuances da verdade e da memória. Com uma escrita magistral, Machado de Assis cria um clássico da literatura brasileira que continua a cativar leitores e a gerar debates até os dias de hoje.",Bom,https://img.skoob.com.br/Uu5Rc4oIwxY8IObCFhs0rcSPV_g=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/180/DOM_CASMURRO_1295291941B.jpg
182,Persépolis,Marjane Satrapi,2007,352,Companhia das Letras,Quadrinho,4.6,29887,1049,16546,32,185,1685,20%,80%,"O livro ""Persépolis"" recebeu uma série de avaliações positivas, destacando a narrativa emocionante e necessária de Marjane sobre sua vida no Irã durante a guerra e a revolução. Os leitores elogiaram a forma como a autora abordou temas pesados de forma leve e engraçada, além de destacarem a importância do protagonismo feminino em meio a um ambiente de guerra e opressão. A obra foi descrita como uma leitura linda, sensível e emocionante, que proporciona uma visão única e reflexiva sobre a cultura persa e os desafios enfrentados por Marjane.",Bom,https://img.skoob.com.br/BVf395Qub1zGO4sxGfvTtnIxIEE=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/182/PERSEPOLIS_1228269070B.jpg
183,A Hora da Estrela,Clarice Lispector,2006,120,Rocco,Romance,4.1,118538,3876,28987,246,1556,6288,19%,81%,"O livro ""A Hora da Estrela"" de Clarice Lispector recebeu avaliações diversas, desde elogios à escrita criativa e envolvente até críticas à lentidão inicial da história. Os leitores destacaram a profundidade da narrativa, a sensibilidade da autora ao abordar temas como solidão, marginalização social e a busca por significado na existência. A protagonista, Macabéa, despertou empatia e reflexões sobre a vida e a morte, enquanto a narrativa instigou os leitores a questionarem suas próprias convicções e a explorarem os mistérios da condição humana. Clarice Lispector foi elogiada por sua escrita única e impactante, que provocou uma gama de emoções nos leitores e os levou a refletir sobre a complexidade e a beleza da vida.",Bom,https://img.skoob.com.br/NzL1bF02fBhDEMZM9nqQWhBRjR8=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/183/A_HORA_DA_ESTRELA_1597162103183SK1597162107B.jpg
